['x[35, 3]', '=', 0.0, '/    Utilidad Ruta : ', 568.63559863247]
['x[36, 3]', '=', 0.0, '/    Utilidad Ruta : ', 441.3995440804]
['x[37, 3]', '=', 1.0, '/    Utilidad Ruta : ', 691.01966812511]
['x[38, 3]', '=', 0.0, '/    Utilidad Ruta : ', 103.4073861558]
['x[39, 3]', '=', 0.0, '/    Utilidad Ruta : ', 457.93845353284996]
['x[40, 3]', '=', 0.0, '/    Utilidad Ruta : ', 262.4666485886901]
['x[41, 3]', '=', 0.0, '/    Utilidad Ruta : ', 425.2287854]
['x[42, 3]', '=', 0.0, '/    Utilidad Ruta : ', 295.5035939413999]
['x[43, 3]', '=', 0.0, '/    Utilidad Ruta : ', 274.89965062445]
['x[44, 3]', '=', 0.0, '/    Utilidad Ruta : ', 592.6399128704]
['x[45, 3]', '=', 0.0, '/    Utilidad Ruta : ', 534.433240235]
['x[46, 3]', '=', 0.0, '/    Utilidad Ruta : ', 409.7135352826999]
['x[47, 3]', '=', 0.0, '/    Utilidad Ruta : ', 141.42119932694004]
['x[48, 3]', '=', 0.0, '/    Utilidad Ruta : ', 623.84245069912]
['x[49, 3]', '=', 0.0, '/    Utilidad Ruta : ', 225.09293648614994]
['x[50, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1256.92446136751]
['x[51, 3]', '=', 0.0, '/    Utilidad Ruta : ', 485.9084020473499]
['x[52, 3]', '=', -0.00020956527509439772, '/    Utilidad Ruta : ', 728.5617949116399]
['x[53, 3]', '=', 0.0, '/    Utilidad Ruta : ', 750.8898216642399]
['x[54, 3]', '=', 0.00020956527509439772, '/    Utilidad Ruta : ', 1393.9530846040502]
['x[55, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1492.33503785975]
['x[56, 3]', '=', 0.0, '/    Utilidad Ruta : ', 894.8914453251302]
['x[57, 3]', '=', 0.0, '/    Utilidad Ruta : ', 1118.0758221004103]
['x[1, 4]', '=', 0.0, '/    Utilidad Ruta : ', 491.52547938400994]
['x[2, 4]', '=', 0.0, '/    Utilidad Ruta : ', 4277.528131966299]
['x[3, 4]', '=', 0.0, '/    Utilidad Ruta : ', -181.47456976776]
['x[4, 4]', '=', 0.0, '/    Utilidad Ruta : ', 3219.7523335163696]
['x[5, 4]', '=', 0.0, '/    Utilidad Ruta : ', 618.28346247279]
['x[6, 4]', '=', 0.0, '/    Utilidad Ruta : ', 397.5168470366]
['x[7, 4]', '=', 0.0, '/    Utilidad Ruta : ', 298.21008382269997]
['x[8, 4]', '=', 0.0, '/    Utilidad Ruta : ', -102.32918252970002]
['x[9, 4]', '=', 0.0, '/    Utilidad Ruta : ', 2490.01650692564]
['x[10, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1765.7043849775998]
['x[11, 4]', '=', 0.0, '/    Utilidad Ruta : ', -100.58631984760001]
['x[12, 4]', '=', 0.0, '/    Utilidad Ruta : ', 200.1495541794]
['x[13, 4]', '=', 0.0, '/    Utilidad Ruta : ', 792.3722513198101]
['x[14, 4]', '=', 0.0, '/    Utilidad Ruta : ', 176.95507190310002]
['x[15, 4]', '=', 0.0, '/    Utilidad Ruta : ', 192.91682600977992]
['x[16, 4]', '=', 0.0, '/    Utilidad Ruta : ', 296.55562723569994]
['x[17, 4]', '=', 0.0, '/    Utilidad Ruta : ', 99.01964218649996]
['x[18, 4]', '=', 0.0, '/    Utilidad Ruta : ', 102.77019264450001]
['x[19, 4]', '=', 0.0, '/    Utilidad Ruta : ', -28.156126881399985]
['x[20, 4]', '=', 0.0, '/    Utilidad Ruta : ', 478.29701730169995]
['x[21, 4]', '=', 0.0, '/    Utilidad Ruta : ', 905.53376140814]
['x[22, 4]', '=', 0.0, '/    Utilidad Ruta : ', 195.93681326470994]
['x[23, 4]', '=', 0.0, '/    Utilidad Ruta : ', 897.1583088545002]
['x[24, 4]', '=', 0.0, '/    Utilidad Ruta : ', 203.31030042659995]
['x[25, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1603.3087620295698]
['x[26, 4]', '=', 0.0, '/    Utilidad Ruta : ', 219.3880703251]
['x[27, 4]', '=', 0.0, '/    Utilidad Ruta : ', 150.8441346394]
['x[28, 4]', '=', 0.038355529492617474, '/    Utilidad Ruta : ', 898.48439431977]
['x[29, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1725.5962762555796]
['x[30, 4]', '=', 0.0, '/    Utilidad Ruta : ', 902.55983631606]
['x[31, 4]', '=', 0.0, '/    Utilidad Ruta : ', 893.4800453375599]
['x[32, 4]', '=', 0.0, '/    Utilidad Ruta : ', 800.2257386239401]
['x[33, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1098.37642435228]
['x[34, 4]', '=', 0.0, '/    Utilidad Ruta : ', 921.2409604363697]
['x[35, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1252.16994127657]
['x[36, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1435.06676938905]
['x[37, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1452.7712493751797]
['x[38, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1109.51170484787]
['x[39, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1173.92793954799]
['x[40, 4]', '=', 0.0, '/    Utilidad Ruta : ', 875.71802790277]
['x[41, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1602.17480023081]
['x[42, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1236.0936955505301]
['x[43, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1358.56520163682]
['x[44, 4]', '=', 0.0, '/    Utilidad Ruta : ', 2194.8424760692897]
['x[45, 4]', '=', 0.923019802349781, '/    Utilidad Ruta : ', 1316.95024387378]
['x[46, 4]', '=', 0.0, '/    Utilidad Ruta : ', 2113.01376219748]
['x[47, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1671.28631954377]
['x[48, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1250.15529010868]
['x[49, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1082.3611566549898]
['x[50, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1558.0907737716198]
['x[51, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1763.4618268585498]
['x[52, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1766.0209496654502]
['x[53, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1035.6656476617802]
['x[54, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1691.87466842575]
['x[55, 4]', '=', 0.0, '/    Utilidad Ruta : ', 703.8541522289]
['x[56, 4]', '=', 0.025958310836598067, '/    Utilidad Ruta : ', 1391.51370673283]
['x[57, 4]', '=', -0.0001197515857682273, '/    Utilidad Ruta : ', 1321.4977397285302]
['x[58, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1209.61546202024]
['x[59, 4]', '=', 0.0, '/    Utilidad Ruta : ', 2408.2911197447097]
['x[60, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1506.7842934397001]
['x[61, 4]', '=', 0.0, '/    Utilidad Ruta : ', 2060.24101705218]
['x[62, 4]', '=', 0.012576543631677406, '/    Utilidad Ruta : ', 1480.2375508747998]
['x[63, 4]', '=', 8.98136893261476e-05, '/    Utilidad Ruta : ', 1412.4335347149997]
['x[64, 4]', '=', 0.0, '/    Utilidad Ruta : ', 969.1431496605601]
['x[65, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1860.0706332083598]
['x[66, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1647.1751175382801]
['x[67, 4]', '=', 0.0, '/    Utilidad Ruta : ', 498.75512492232997]
['x[68, 4]', '=', 0.0, '/    Utilidad Ruta : ', 845.2068861368699]
['x[69, 4]', '=', 0.0001197515857682273, '/    Utilidad Ruta : ', 1516.32127816076]
['x[70, 4]', '=', 0.0, '/    Utilidad Ruta : ', 1406.3330206152098]
['x[1, 5]', '=', 0.0, '/    Utilidad Ruta : ', 782.7949243278601]
['x[2, 5]', '=', 0.0, '/    Utilidad Ruta : ', 1519.57175835484]
['x[3, 5]', '=', 0.0, '/    Utilidad Ruta : ', 2979.1012489939403]
['x[4, 5]', '=', 0.0, '/    Utilidad Ruta : ', -208.9186664285]
['x[5, 5]', '=', 0.0, '/    Utilidad Ruta : ', 2858.25675902297]
['x[6, 5]', '=', 0.0, '/    Utilidad Ruta : ', 1319.95852888788]
['x[7, 5]', '=', 0.0, '/    Utilidad Ruta : ', 2539.99530947515]
['x[8, 5]', '=', 0.0, '/    Utilidad Ruta : ', 1298.0659334534998]
['x[9, 5]', '=', 0.0, '/    Utilidad Ruta : ', 1637.7855559542202]
['x[10, 5]', '=', 0.0, '/    Utilidad Ruta : ', 2155.1765090570293]
['x[11, 5]', '=', 0.0, '/    Utilidad Ruta : ', 1848.61795004]
['x[12, 5]', '=', 0.0, '/    Utilidad Ruta : ', 260.51433383012]
['x[13, 5]', '=', 0.0, '/    Utilidad Ruta : ', 1599.3846428989295]
['x[14, 5]', '=', 0.0, '/    Utilidad Ruta : ', 768.8013196063602]
['x[15, 5]', '=', 0.0, '/    Utilidad Ruta : ', -39.374774964899984]
['x[16, 5]', '=', 0.0, '/    Utilidad Ruta : ', 721.7291483913101]
['x[17, 5]', '=', 0.0, '/    Utilidad Ruta : ', 470.5641245815]
['x[18, 5]', '=', 0.0, '/    Utilidad Ruta : ', -70.75448729840001]
['x[19, 5]', '=', 0.0, '/    Utilidad Ruta : ', 824.4563957221799]
['x[20, 5]', '=', 0.0, '/    Utilidad Ruta : ', 55.99089652633995]
['x[21, 5]', '=', 0.0, '/    Utilidad Ruta : ', 35.61121575910002]
['x[22, 5]', '=', 0.0, '/    Utilidad Ruta : ', 31.540117540359972]
